Open	High	Low	Close	Adj Close	Volume	change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20	symbol	company	list_date	v_change
0.02	0.02	0.02	0.02	0.02	0	-0.02	0.03	0.03	0.03	0.0	3000.0	21050.0	CZC	Copper Reef Mining Corp.	2008-02-22	0.0
0.04	0.04	0.04	0.04	0.04	0	-0.03	0.07	0.06	0.05	13080.0	101361.5	201261.25	CBK	Copperbank Resources Corp 	2014-11-07	-13080.0
0.88	0.88	0.88	0.88	0.88	500	0.03	0.87	0.89	0.92	772.0	4736.0	4568.85	CDVA	CordovaCann Corp.	2018-08-08	-272.0
0.34	0.37	0.34	0.36	0.36	1340874	-0.06	0.41	0.41	0.42	268174.8	134087.4	67043.7	CROP	"Crop Infrastructure Corp.
"	2018-03-13	1072699.2
0.04	0.04	0.04	0.04	0.04	18000	-0.2	0.2	0.22	0.23	3600.0	1800.0	900.0	NITE	Cryptanite Blockchain Technologies Corp.	2018-03-12	14400.0
0.08	0.08	0.08	0.08	0.08	0	0.0	0.08	0.08	0.09	0.0	550.0	775.0	CYN	Cyntar Ventures Inc.	2018-05-15	0.0
0.02	0.03	0.02	0.03	0.03	54250	0.0	0.03	0.03	0.03	55850.0	115495.0	129411.0	DDB	Data Deposit Box Inc.  	2015-03-30	-1600.0
0.0	0.0	0.0	0.0	0.0	12000	-0.0	0.01	0.01	0.01	44400.0	42079.5	47701.6	DDI	Debut Diamonds Inc.	2011-12-13	-32400.0
0.18	0.18	0.18	0.18	0.18	1500	-0.42	0.52	0.56	0.63	1333.4	3016.5	3838.95	LAN	"Declan Cobalt Inc.
"	2016-02-22	166.6
0.24	0.24	0.24	0.24	0.24	0	-0.01	0.25	0.27	0.35	202.0	3781.0	3648.15	DHC	"Deer Horn Capital Inc.
"	2014-10-07	-202.0
2.0	2.0	2.0	2.0	2.0	545	0.0	1.84	1.76	1.75	959.0	551.1	1074.2	DLMA	"Delma Group Inc., The
"	2018-03-23	-414.0
0.2	0.2	0.2	0.2	0.2	53000	0.1	0.12	0.11	0.14	19200.0	15300.0	7650.0	DVR	Deveron UAS Corp. 	2016-07-19	33800.0
0.01	0.01	0.01	0.01	0.01	0	0.0	0.01	0.01	0.01	0.0	0.0	0.0	KDZ	Dizun International Enterprises Inc. 	2012-01-12	0.0
0.07	0.07	0.07	0.07	0.07	2266	0.0	0.07	0.07	0.06	34353.2	44323.6	56720.55	DNI	DNI Metals Inc.	2015-12-24	-32087.2
0.04	0.04	0.04	0.04	0.04	2500	-0.05	0.07	0.07	0.07	52988.0	85144.0	553624.5	DST	"Dundee Sustainable Technologies Inc.
"	2014-04-08	-50488.0
0.02	0.02	0.02	0.02	0.02	0	-0.04	0.05	0.05	0.05	0.0	0.0	6150.0	EA	"EA Education Group Inc.
"	2015-02-20	0.0
0.19	0.19	0.19	0.19	0.19	0	0.09	0.14	0.15	0.14	20720.0	29710.0	25710.0	EAC	Earth Alive Clean Technologies Inc. 	2014-04-17	-20720.0
0.07	0.07	0.07	0.07	0.07	0	0.0	0.07	0.07	0.07	0.0	0.0	0.0	EZM	"Easy Technologies Inc.
"	2016-02-05	0.0
0.18	0.21	0.18	0.21	0.21	36300	-0.39	0.45	0.42	0.33	110134.8	214026.9	152094.9	EOM	Eco Oro Minerals Corp.	2017-10-24	-73834.8
0.1	0.1	0.1	0.1	0.1	3000	0.04	0.07	0.06	0.05	17553.0	11860.4	22928.1	EPW	Empower Clinics Inc. 	2018-04-30	-14553.0
0.03	0.03	0.03	0.03	0.03	0	-0.03	0.06	0.06	0.06	7960.0	25950.0	29764.55	TOP	Enertopia Corp. 	2010-08-13	-7960.0
0.98	0.98	0.93	0.93	0.93	12790	-0.05	0.96	0.95	0.93	15843.2	13474.2	20043.05	ETI	EnviroLeach Technologies Inc.	2017-03-30	-3053.2
0.07	0.08	0.07	0.08	0.08	137300	0.0	0.07	0.07	0.08	83200.0	69410.0	79746.75	EPY	"ePlay Digital Inc.
"	2016-11-23	54100.0
0.29	0.29	0.29	0.29	0.29	0	0.0	0.22	0.19	0.19	12700.0	7181.4	14342.2	OPI	ESI Energy Services Inc.	2016-12-01	-12700.0
0.01	0.01	0.01	0.01	0.01	0	0.0	0.01	0.01	0.01	0.0	1000.0	3570.3	EI	Eurogas International Inc.	2009-03-31	0.0
0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	ECU	European Metals Corp 	2014-11-07	0.0
0.0	0.63	0.63	0.63	0.63	0	0.0	0.63	0.63	0.62	0.0	3100.0	69385.25	EVI	"EVI Global Group Developments Corp.
(formerly Blackeagle Development Corp. 15-Sep-15 to 12-Jul-16)"	2016-07-13	0.0
0.65	0.75	0.65	0.75	0.75	1403	0.1	0.69	0.64	0.64	6556.6	6980.2	9226.55	EHC	Eviana Health Corporation 	2017-09-12	-5153.6
0.2	0.2	0.2	0.2	0.2	0	-3.55	3.04	3.47	3.94	0.0	16.7	16.7	EVA	"EVITRADE Health Systems Corp.
"	2016-09-19	0.0
0.0	0.08	0.08	0.08	0.08	0	0.0	0.08	0.08	0.07	0.0	0.0	0.0	EVG	Evolving Gold Corp. 	2014-07-25	0.0
0.06	0.06	0.04	0.05	0.05	128400	0.01	0.04	0.04	0.04	45060.0	90972.0	86939.25	XBLK	eXeBlock Technology Corporation	2017-11-16	83340.0
0.27	0.34	0.27	0.34	0.34	61000	-0.07	0.39	0.4	0.43	12200.0	6100.0	3237.65	EX	Explorex Resources Inc.	2015-04-30	48800.0
0.36	0.37	0.32	0.34	0.34	57111	0.01	0.35	0.35	0.31	119467.0	169768.7	196939.75	XRO	Exro Technologies Inc. 	2017-08-29	-62356.0
0.11	0.11	0.1	0.1	0.1	651800	0.02	0.08	0.08	0.08	130960.0	66717.5	41463.1	FDM	"Fandom Sports Media Corp.
"	2016-08-03	520840.0
0.08	0.08	0.07	0.08	0.08	49900	0.04	0.04	0.04	0.03	12980.0	16490.0	10595.0	FAT	Far Resources Ltd. 	2011-12-12	36920.0
0.11	0.12	0.1	0.1	0.1	277350	-0.03	0.12	0.13	0.13	55470.0	27735.0	13867.5	CALI	FinCanna Capital Corp. 	2017-12-29	221880.0
0.0	0.01	0.0	0.01	0.01	188000	0.0	0.01	0.01	0.01	244500.0	213957.1	168568.25	FNQ	"Fineqia International Inc.
"	2016-11-01	-56500.0
1.48	1.48	1.44	1.45	1.45	26400	1.38	0.35	0.21	0.15	5280.0	2640.0	1370.0	FONE	Flower One Holdings Inc.	2018-10-10	21120.0
